file_name,speaker,phishing_type,text
phishing_000_cy1,0,가족지인사칭형,'여보세요  나 OOO야. 아빠야.'
phishing_000_cy1,1,가족지인사칭형,아빠? 목소리가 좀 이상한 것 같아요.
phishing_000_cy1,0,가족지인사칭형,아빠의 핸드폰이 망가져서 친구의 전화로 연락했어. 급하게 돈이 필요해서 그렇거든.
phishing_000_cy1,1,가족지인사칭형,'무슨 일이길래 그렇게 급하게 말씀하시나요?'
phishing_000_cy1,0,가족지인사칭형,교통사고로 병원 비용이 급하게 필요한데  믿고 바로 송금해 줄 수 있어?
phishing_001_cy1,0,가족지인사칭형,'OOO야  나야. 친구 OOO인데 전화번호가 변경됐어.'
phishing_001_cy1,1,가족지인사칭형,'어? 왜 갑자기 변경했어?'
phishing_001_cy1,0,가족지인사칭형,핸드폰을 잃어버렸어. 갑자기 돈 좀 빌릴 수 있을까?
phishing_001_cy1,1,가족지인사칭형,무슨 일인데? 왜 돈이 필요해?
phishing_001_cy1,0,가족지인사칭형,'가족이 다쳤어. 병원비가 부족한데  도와줄 수 있을까?'
phishing_002_cy1,0,가족지인사칭형,'여보세요  OOO? 나 너희 엄마 친구인데.'
phishing_002_cy1,1,가족지인사칭형,'네  어떻게 도와드릴까요?'
phishing_002_cy1,0,가족지인사칭형,당신 어머니가 사고를 당하셔서 병원에 계셔. 지금 돈이 매우 급하게 필요해.
phishing_002_cy1,1,가족지인사칭형,'진짜요? 어떤 병원인지 알 수 있을까요?'
phishing_002_cy1,0,가족지인사칭형,'나중에 자세히 설명할게. 지금 송금해 줘.'
phishing_003_cy1,0,가족지인사칭형,'OOO야  나야. 오래간만이야.'
phishing_003_cy1,1,가족지인사칭형,오랜만이야. 그런데 너 목소리가 왜 이렇게 됐어?
phishing_003_cy1,0,가족지인사칭형,'저 사고로 목소리가 변했어요. 지금 병원비가 급하게 필요해요.'
phishing_003_cy1,1,가족지인사칭형,'무슨 일이야? 괜찮은 거니?'
phishing_003_cy1,0,가족지인사칭형,'어떻게 이렇게 됐는지 모르겠어. 나중에 자세히 설명할게. 돈 좀 빨리 송금해 줄 수 있어?'
phishing_004_cy1,0,가족지인사칭형,'안녕하세요  OOO씨? 저희는 경찰입니다.'
phishing_004_cy1,1,가족지인사칭형,'경찰서에요? 무슨 일인지 말씀해 주실 수 있나요?'
phishing_004_cy1,0,가족지인사칭형,'당신의 아들이 교통사고를 당했습니다. 병원비 처리를 위해서 급히 돈을 보내주셔야 합니다.'
phishing_004_cy1,1,가족지인사칭형,정말인가요? 어떤 병원인지 알려주실 수 있으세요?
phishing_004_cy1,0,가족지인사칭형,현재로서는 자세한 말씀을 드리기 어렵습니다. 우선 송금을 진행해 주시면 감사하겠습니다.
phishing_005_cy1,0,가족지인사칭형,안녕하세요  OOO입니다. 지금 경찰서에 있는데  급하게 해결해야 할 문제가 발생했어요.
phishing_005_cy1,1,가족지인사칭형,'경찰서라고? 무슨 일이죠?'
phishing_005_cy1,0,가족지인사칭형,'내가 실수로 사고를 내버렸어. 보석금이 필요한 상황이야. 빨리 송금해줄 수 있어?'
phishing_005_cy1,1,가족지인사칭형,정말인가요? 경찰서에 직접 가서 확인해볼게요.
phishing_005_cy1,0,가족지인사칭형,'아니  그런 시간 없어. 빨리 끝내야 해.'
phishing_006_cy1,0,가족지인사칭형,OOO야  나야. 내 계좌가 해킹당해서 모든 돈이 빠져나갔어.
phishing_006_cy1,1,가족지인사칭형,'진짜야? 그게 어떻게 가능한 거지?'
phishing_006_cy1,0,가족지인사칭형,'은행에서 보상해 준다고 하는데  매립금이 급하다고 하더라.'
phishing_006_cy1,1,가족지인사칭형,'은행에 직접 확인해보겠습니다.'
phishing_006_cy1,0,가족지인사칭형,'시간이 부족해. 지금 즉시 진행해야 해.'
phishing_007_cy1,0,가족지인사칭형,'OOO야  너의 자녀가 병원에 입원했어. 긴급한 수술이 필요하다고 해.'
phishing_007_cy1,1,가족지인사칭형,'무슨 소리야? 내 아이가 병원에 있다고?'
phishing_007_cy1,0,가족지인사칭형,응  수술비를 빨리 보내줘야 해. 정말 급하니까 부탁해.
phishing_007_cy1,1,가족지인사칭형,정말 믿기지가 않아. 병원에 직접 연락해 보겠어.
phishing_007_cy1,0,가족지인사칭형,'지금 연락할 시간이 없어. 즉시 처리해야 해.'
phishing_008_cy1,0,가족지인사칭형,'안녕하세요  OOO님? 세무서에서 연락드립니다.'
phishing_008_cy1,1,가족지인사칭형,'세무서에요? 왜 전화하셨어요?'
phishing_008_cy1,0,가족지인사칭형,'세금 문제가 발생해서 즉시 처리해야 합니다. 송금해 주시기 바랍니다.'
phishing_008_cy1,1,가족지인사칭형,이거 좀 이상한데  세무서에 직접 확인해볼게요.
phishing_008_cy1,0,가족지인사칭형,'지금 행동하지 않으면 심각한 상황이 발생할 수 있습니다.'
phishing_009_cy1,0,가족지인사칭형,'OOO야  나는 보험회사인데 네 가족이 교통사고를 당했어.'
phishing_009_cy1,1,가족지인사칭형,정말인가요? 가족분들은 괜찮으신 거죠?
phishing_009_cy1,0,가족지인사칭형,'치료비를 신속하게 입금해야 해. 곧 부탁할게.'
phishing_009_cy1,1,가족지인사칭형,'병원에 직접 확인해보도록 할게.'
phishing_009_cy1,0,가족지인사칭형,'그런 여유 없어요. 지금 바로 송금해야 해요.'
phishing_010_cy1,0,가족지인사칭형,'엄마  나 OOO야. 지금 급하게 전화해야 해.'
phishing_010_cy1,1,가족지인사칭형,'OOO야? 무슨 일 있어? 왜 이렇게 걱정이야?'
phishing_010_cy1,0,가족지인사칭형,'내 친구가 사고를 당해서 병원비가 급히 필요해. 도와줄 수 있을까?'
phishing_010_cy1,1,가족지인사칭형,괜찮아? 많이 아픈 것 같아?
phishing_010_cy1,0,가족지인사칭형,나는 괜찮아. 그런데 병원비가 너무 급해서 엄마에게 좀 보내달라고 했으면 해.
phishing_011_cy1,0,가족지인사칭형,'OOO야  나야. 너희 아빠야  큰일 났어.'
phishing_011_cy1,1,가족지인사칭형,아빠? 진짜 아빠 맞는 거예요? 목소리가 좀 이상한 것 같아요.
phishing_011_cy1,0,가족지인사칭형,목소리가 좀 안 좋네. 빨리 돈 좀 보내줘야 할 것 같아.
phishing_011_cy1,1,가족지인사칭형,'어디로 보내드릴까요? 정말 아버지 맞으신가요?'
phishing_011_cy1,0,가족지인사칭형,'사고가 났으니  서둘러서 돈 좀 이체해줘. 계좌번호 알려줄게.'
phishing_012_cy1,0,가족지인사칭형,OOO야  나 너의 친구야. 지금 정말 큰일이 났어.
phishing_012_cy1,1,가족지인사칭형,'누구세요? OOO 맞아요? 목소리가 좀 이상하게 들리네요.'
phishing_012_cy1,0,가족지인사칭형,'급하니까 그래. 지금 경찰서에 있는데 벌금을 내야 해.'
phishing_012_cy1,1,가족지인사칭형,'그럼 네 번호로 걸어도 괜찮지 않아? 왜 다른 번호인 거야?'
phishing_012_cy1,0,가족지인사칭형,전화기가 고장나서 그래. 돈을 지금 바로 보내줄 수 있어?
phishing_013_cy1,0,가족지인사칭형,'안녕하세요  OOO씨? 보험회사입니다. 아드님께서 사고에 연루되셨습니다.'
phishing_013_cy1,1,가족지인사칭형,'보험회사인가요? 아드님이 사고가 났다고요? 어디서요?'
phishing_013_cy1,0,가족지인사칭형,'현재 병원에서 긴급치료를 받고 있습니다. 치료비가 필요해서 연락드렸습니다.'
phishing_013_cy1,1,가족지인사칭형,아주 갑작스럽네요. 어떤 보험회사라고 하셨죠?
phishing_013_cy1,0,가족지인사칭형,네  급하게 연락드려서 죄송합니다. 치료비를 계좌로 송금해 주시면 감사하겠습니다.
phishing_014_cy1,0,가족지인사칭형,‘안녕하세요  OOO님. 귀하의 아드님이 경찰에 잡혔습니다.’
phishing_014_cy1,1,가족지인사칭형,'뭐라고요? 우리 아들이라고요? 무슨 일이죠?'
phishing_014_cy1,0,가족지인사칭형,'작은 문제인데  보증금이 필요해요. 빨리 해결해야 합니다.'
phishing_014_cy1,1,가족지인사칭형,어떤 경찰서인지 말씀해 주실 수 있으세요?
phishing_014_cy1,0,가족지인사칭형,'지금 즉시 송금해 주시면 문제가 해결될 수 있습니다. 계좌번호를 말씀드릴게요.'
phishing_015_cy1,0,가족지인사칭형,여보세요  OOO 엄마? 내 전화기가 물에 빠졌어. 그래서 임시폰 사용 중이야.
phishing_015_cy1,1,가족지인사칭형,'정말 너 맞아? 목소리가 좀 다른 것 같아.'
phishing_015_cy1,0,가족지인사칭형,'엄마  지금 급해. 병원비가 필요해. 돈 좀 보내줄 수 있어?'
phishing_015_cy1,1,가족지인사칭형,'병원비? 어떤 일이야? 어떤 병원이야?'
phishing_015_cy1,0,가족지인사칭형,'나중에 자세히 설명할 테니까  지금은 돈을 빨리 보내줘야 해.'
phishing_016_cy1,0,가족지인사칭형,안녕? OOO야. OOO가 교통사고를 당했어.
phishing_016_cy1,1,가족지인사칭형,'진짜예요? OOO는 위치가 어디죠? 다친 것 같아요?'
phishing_016_cy1,0,가족지인사칭형,'병원에 있다 보니 수술비가 급하게 필요해요.'
phishing_016_cy1,1,가족지인사칭형,'어떤 병원인지 알려주실 수 있나요? 제가 직접 가보겠습니다.'
phishing_016_cy1,0,가족지인사칭형,'지금 수술 중이라 통화가 어려워요. 우선 돈부터 보내주실 수 있을까요?'
phishing_017_cy1,0,가족지인사칭형,'여보세요  OOO 언니인가요? 제 핸드폰이 고장나서 친구의 폰을 잠시 빌렸어요.'
phishing_017_cy1,1,가족지인사칭형,'OOO야? 왜 전화했어?'
phishing_017_cy1,0,가족지인사칭형,갑자기 경찰서에 도착했어요. 벌금을 지불해야 해요.
phishing_017_cy1,1,가족지인사칭형,'경찰서? 왜 갔던 거야?'
phishing_017_cy1,0,가족지인사칭형,'별거 아닌데  지금 돈이 부족해서 말이야. 잠깐 조금 보내줄 수 있을까?'
phishing_018_cy1,0,가족지인사칭형,'안녕하세요  OOO인데요? 저예요.'
phishing_018_cy1,1,가족지인사칭형,'OOO? 왜 네 목소리가 이렇게 들려?'
phishing_018_cy1,0,가족지인사칭형,차 사고 났어요. 보험사에서 먼저 돈을 보내라고 하더라고요.
phishing_018_cy1,1,가족지인사칭형,너 괜찮아? 어떤 병원에 가고 있어?
phishing_018_cy1,0,가족지인사칭형,지금은 돈 보내는 것이 급하니까 병원 얘기는 나중에 하자.
phishing_019_cy1,0,가족지인사칭형,안녕하세요  OOO 삼촌이에요. 지금 급하게 돈 좀 빌릴 수 있을까?
phishing_019_cy1,1,가족지인사칭형,'삼촌? 무슨 일이에요  왜 그러세요?'
phishing_019_cy1,0,가족지인사칭형,'OOO가 다쳤는데 병원비가 급하게 필요해.'
phishing_019_cy1,1,가족지인사칭형,'진짜요? OOO는 지금 어디에 있나요?'
phishing_019_cy1,0,가족지인사칭형,병원에 있어요. 수술 중이라서 빨리 돈을 보내줘.
phishing_020_cy1,0,가족지인사칭형,'안녕하세요  안녕하세요  OOO 맞나요?'
phishing_020_cy1,1,가족지인사칭형,'네  맞아요. 무슨 일이죠?'
phishing_020_cy1,0,가족지인사칭형,나 경찰서에 구금되어 있어. 교통사고가 발생했어. 벌금을 내야 돼.
phishing_020_cy1,1,가족지인사칭형,'뭐라고? 너 괜찮아? 어떻게 해야 돼?'
phishing_020_cy1,0,가족지인사칭형,'돈을 빨리 송금해 주세요. 변호사 비용이 급하게 필요하거든요. 계좌번호는 제가 알려드릴게요.'
phishing_021_cy1,0,가족지인사칭형,'엄마  나 OOO인데 전화기 화면이 깨졌어.'
phishing_021_cy1,1,가족지인사칭형,'뭐라고? 이게 OOO야? 무슨 일인데?'
phishing_021_cy1,0,가족지인사칭형,'응  엄마. 친구가 심각한 사고를 당해서 치료비를 모금해야 해.'
phishing_021_cy1,1,가족지인사칭형,정말인가요? 돈은 어디로 보내면 되는 건가요?
phishing_021_cy1,0,가족지인사칭형,내 계좌번호 알려줄게. 빨리 송금해 줘.
phishing_022_cy1,0,가족지인사칭형,'아빠  나 OOO야. 아니  정말 일이 터졌어.'
phishing_022_cy1,1,가족지인사칭형,'OOO야? 무슨 문제라도 생겼어? 너 괜찮은 거야?'
phishing_022_cy1,0,가족지인사칭형,'내 친구가 사고를 당해서 병원에 가야 해. 도와줄 수 있을까?'
phishing_022_cy1,1,가족지인사칭형,'이게 정말 심각한 일이야? 내가 뭘 도와줄 수 있을까?'
phishing_022_cy1,0,가족지인사칭형,'돈을 지금 계좌로 이체해 줘. 나중에 차차 설명해줄게.'
phishing_023_cy1,0,가족지인사칭형,'OOO야  나 너의 사촌이야. 지금 급한 일이 생겼어.'
phishing_023_cy1,1,가족지인사칭형,사촌? 무슨 일이야? 왜 이렇게 갑자기?
phishing_023_cy1,0,가족지인사칭형,'일하다가 사고가 났어. 병원비가 모자라.'
phishing_023_cy1,1,가족지인사칭형,'그래? 돈은 어디로 보내야 하지?'
phishing_023_cy1,0,가족지인사칭형,'계좌번호를 알려줄게. 빨리 해줘.'
phishing_024_cy1,0,가족지인사칭형,'형  나 OOO이야. 내 핸드폰이 망가졌어.'
phishing_024_cy1,1,가족지인사칭형,'OOO야? 어떻게 된 거야? 왜 전화번호가 바뀐 거야?'
phishing_024_cy1,0,가족지인사칭형,병원에 긴급히 가야 할 상황이 생겼어. 돈 좀 보내줄 수 있어?
phishing_024_cy1,1,가족지인사칭형,'그게 무슨 말이야? 괜찮은 거야?'
phishing_024_cy1,0,가족지인사칭형,'나중에 자세히 말해줄게. 계좌번호를 말해줄 테니 빨리 해줘.'
phishing_025_cy1,0,가족지인사칭형,안녕하세요  OOO죠? 저는 당신의 친구인데  OOO가 지금 급하게 돈이 필요하답니다.
phishing_025_cy1,1,가족지인사칭형,'네? 말씀하신 분이 누구죠? OOO에게 무슨 일이 있나요?'
phishing_025_cy1,0,가족지인사칭형,'OOO가 교통사고를 당했어. 병원비를 서둘러 납부해야 해.'
phishing_025_cy1,1,가족지인사칭형,'진짜로요? 그럼 우선 OOO한테 직접 연락해보겠습니다.'
phishing_025_cy1,0,가족지인사칭형,'지금은 전화가 불가능할 거야. 시간을 낭비하면 안 돼.'
