보류_하한,보류_상한,precision,recall,f1_score,보류비율(%)
0.1,0.9,0.9681,0.9352,0.9513,16.3
0.1,0.85,0.9583,0.9388,0.9485,14.9
0.1,0.8,0.951,0.9402,0.9456,14.2
0.1,0.75,0.9489,0.9408,0.9448,13.9
0.1,0.7,0.9415,0.9415,0.9415,13.5
0.1,0.65,0.9373,0.9425,0.9399,13.0
0.1,0.6,0.9282,0.9432,0.9357,12.4
0.15,0.9,0.9681,0.9018,0.9337,8.9
0.15,0.85,0.9583,0.907,0.932,7.5
0.15,0.8,0.951,0.9091,0.9296,6.8
0.15,0.75,0.9489,0.9101,0.9291,6.5
0.2,0.9,0.9681,0.8912,0.928,8.0
0.2,0.85,0.9583,0.8969,0.9266,6.5
0.15,0.7,0.9415,0.9111,0.926,6.1
0.15,0.65,0.9373,0.9125,0.9247,5.6
0.2,0.8,0.951,0.8992,0.9244,5.8
0.2,0.75,0.9489,0.9003,0.9239,5.5
0.25,0.9,0.9681,0.8834,0.9238,7.5
0.25,0.85,0.9583,0.8895,0.9226,6.1
0.2,0.7,0.9415,0.9013,0.921,5.1
0.15,0.6,0.9282,0.9136,0.9208,5.0
0.25,0.8,0.951,0.8919,0.9205,5.4
0.25,0.75,0.9489,0.893,0.9201,5.1
0.2,0.65,0.9373,0.9029,0.9198,4.6
0.25,0.7,0.9415,0.8942,0.9172,4.7
0.25,0.65,0.9373,0.8958,0.9161,4.2
0.2,0.6,0.9282,0.9041,0.916,4.0
0.3,0.9,0.9681,0.8657,0.914,6.1
0.3,0.85,0.9583,0.8726,0.9135,4.7
0.25,0.6,0.9282,0.8972,0.9124,3.6
0.3,0.8,0.951,0.8753,0.9116,4.0
0.3,0.75,0.9489,0.8766,0.9113,3.7
0.35,0.9,0.9681,0.8608,0.9113,5.7
0.35,0.85,0.9583,0.8679,0.9109,4.3
0.35,0.8,0.951,0.8707,0.9091,3.6
0.35,0.75,0.9489,0.8721,0.9088,3.3
0.3,0.7,0.9415,0.8779,0.9086,3.2
0.3,0.65,0.9373,0.8798,0.9077,2.7
0.35,0.7,0.9415,0.8734,0.9062,2.9
0.4,0.85,0.9583,0.8587,0.9058,3.9
0.4,0.9,0.9681,0.8511,0.9058,5.3
0.35,0.65,0.9373,0.8753,0.9053,2.4
0.45,0.9,0.9681,0.8487,0.9045,4.9
0.45,0.85,0.9583,0.8564,0.9045,3.5
0.4,0.8,0.951,0.8616,0.9041,3.2
0.3,0.6,0.9282,0.8813,0.9041,2.2
0.4,0.75,0.9489,0.863,0.9039,2.9
0.45,0.8,0.951,0.8594,0.9029,2.8
0.45,0.75,0.9489,0.8608,0.9027,2.5
0.35,0.6,0.9282,0.8769,0.9018,1.8
0.4,0.7,0.9415,0.8645,0.9013,2.5
0.4,0.65,0.9373,0.8665,0.9005,2.0
0.45,0.7,0.9415,0.8622,0.9001,2.0
0.45,0.65,0.9373,0.8643,0.8993,1.6
0.4,0.6,0.9282,0.8682,0.8972,1.4
0.45,0.6,0.9282,0.866,0.896,1.0
