file_name,text,phishing_type
phishing_000," 여보세요, OOO야. 나 아빠야. 아빠? 목소리가 좀 이상한데요. 아빠 핸드폰이 고장 나서 친구 폰으로 걸었어. 급하게 돈이 필요해서. 무슨 일인데 그렇게 급해요? 교통사고가 나서 병원비가 필요해. 믿고 바로 보내줄 수 있지?",가족지인사칭형
phishing_001," OOO야, 나야. 너 친구 OOO인데, 전화번호 바뀌었어. 어? 갑자기 왜 바꿨어?  핸드폰을 잃어버려서 그런데, 급히 돈 좀 빌려 줄 수 있어? 무슨 일이야? 왜 돈이 필요해?  가족이 다쳤는데, 병원비가 모자라서 그래. 부탁 좀 할게.",가족지인사칭형
phishing_002," 여보세요, OOO? 나 엄마 친구야.  아, 네. 무슨 일이세요? 네 엄마가 지금 사고를 당해서 병원에 있어. 돈이 급히 필요해. 정말요? 어떤 병원이에요? 자세한 것은 나중에 설명할게. 지금 바로 송금 부탁해.",가족지인사칭형
phishing_003," OOO야, 나야. 오랜만이다. 오랜만이네. 근데 네 목소리 왜 그래? 나 사고가 나서 목소리가 변했어. 지금 병원비가 필요해. 무슨 사고야? 괜찮은 거야? 어쩌다 보니 이렇게 됐어. 나중에 설명할게. 돈 좀 빨리 보내 줄래?",가족지인사칭형
phishing_004," 여보세요, OOO님? 여기 경찰서입니다. 경찰서요? 무슨 일이죠? 네 아들이 교통사고를 당했어요. 병원비 처리를 위해 급히 송금이 필요합니다. 정말이에요? 어느 병원인지 알 수 있을까요?  지금은 말씀드리기 어렵고, 우선 송금부터 부탁드립니다.",가족지인사칭형
phishing_005," 여보세요, OOO야. 나 경찰서인데, 급하게 문제가 생겼어. 경찰서? 무슨 일이야? 내가 실수로 사고가 나서 보석금이 필요해. 빠르게 송금해줘. 정말이야? 경찰서에 직접 가볼게.  아니야, 그럴 시간 없어. 빨리 처리해야 해.",가족지인사칭형
phishing_006," OOO야, 나야. 내 계좌가 해킹당해서 돈이 다 빠져나갔어. 정말? 어떻게 그럴 수가 있어?  은행에서 보상 해준다는데, 급하게 돈을 입금해야 한다고 해. 은행에 직접 확인해볼게. 시간이 없어. 지금 곧바로 해야 돼.",가족지인사칭형
phishing_007," OOO야, 너의 아이가 병원에 있어. 긴급 수술이 필요해. 뭐라고? 내 아이가 병원에 있다고?  응, 수술비를 빨리 입금해야 해. 당장 부탁해. 정말 믿을 수가 없네. 병원에 직접 연락해볼게. 직접 연락할 시간 없어. 지금 바로 해야 돼.",가족지인사칭형
phishing_008," 여보세요, OOO씨? 세무서에서 전화 드립니다. 세무서요? 왜 전화하셨죠? 세금 관련 문제가 있어서 빨리 처리해야 합니다. 송금 부탁드립니다.  이거 수상한데, 세무서에 직접 확인해보겠습니다. 지금 바로 조치를 취하지 않으면 큰 문제가 될 수 있습니다.",가족지인사칭형
phishing_009," OOO야, 나 보험사인데 네 가족이 교통사고가 났어. 정말이야? 가족이 괜찮은 거야? 빠르게 치료비를 입금해야 해. 금방 부탁할게. 직접 병원에 확인해볼게. 그럴 시간 없어. 지금 당장 송금해야 해.",가족지인사칭형
phishing_010," 엄마, 나 OOO인데, 지금 급하게 전화해. OOO야? 너 왜 그래? 무슨 일이야? 친구가 사고가 나서 병원비가 필요해. 좀 도와줄 수 있어? 너 괜찮아? 많이 다쳤어? 난 괜찮아. 근데 병원비가 급해서 엄마가 좀 보내줬으면 해.",가족지인사칭형
phishing_011," OOO야, 나야. 너희 아빠인데, 사고가 났어. 아빠? 진짜 아빠 맞아요? 목소리가 이상해요. 목소리가 좀 안 좋아서 그래. 빨리 돈 좀 보내줘야 할 것 같아. 어디로 보내달라고요? 정말 아빠 맞으세요? 사고가 나서 빨리 이체 부탁해. 계좌번호 불러줄게.",가족지인사칭형
phishing_012," OOO야, 나 네 친구야. 지금 큰일 났어. 누구라고? OOO야? 너 목소리가 좀 이상한데? 급해서 그래. 나 경찰서에 있는데 벌금 내야 해. 그럼 네 번호로 걸면 되지 않아? 왜 다른 번호야? 폰이 고장 나서 그래. 지금 당장 돈 좀 보내줄 수 있어?",가족지인사칭형
phishing_013," 여보세요, OOO씨? 저 보험사인데요, 아드님이 사고가 났습니다. 보험사요? 아들이 사고 났다고요? 어디서요? 지금 병원에서 긴급하게 치료 중입니다. 치료비가 필요해서 연락드렸어요. 너무 갑작스럽군요. 어떤 보험사라고 하셨나요?  네, 급해서 죄송합니다. 계좌로 치료비 이체 부탁드립니다.",가족지인사칭형
phishing_014," 여보세요, OOO씨. 아드님이 경찰에 체포되었습니다. 뭐라고요? 우리 아들이요? 무슨 일인가요?  사소한 문제인데, 보석금이 필요합니다. 빨리 조치를 취해야 해요. 어떤 경찰서인지 알려주실 수 있나요? 지금 바로 이체해 주시면 문제가 해결될 겁니다. 계좌번호 알려드리겠습니다.",가족지인사칭형
