보류_하한,보류_상한,precision,recall,f1_score,보류비율(%)
0.1,0.75,0.9783,0.9343,0.9558,23.7
0.1,0.7,0.9731,0.9383,0.9554,22.4
0.1,0.8,0.9764,0.9288,0.952,25.0
0.1,0.65,0.9623,0.9415,0.9518,21.1
0.1,0.6,0.9527,0.9443,0.9485,19.8
0.1,0.85,0.9732,0.9198,0.9458,26.9
0.15,0.7,0.9731,0.9003,0.9353,11.9
0.15,0.75,0.9783,0.894,0.9343,13.2
0.15,0.65,0.9623,0.9053,0.9329,10.6
0.1,0.9,0.9755,0.8933,0.9326,30.7
0.15,0.6,0.9527,0.9096,0.9306,9.3
0.2,0.7,0.9731,0.8892,0.9293,10.3
0.15,0.8,0.9764,0.8857,0.9288,14.5
0.2,0.75,0.9783,0.8824,0.9278,11.6
0.2,0.65,0.9623,0.8947,0.9273,9.0
0.2,0.6,0.9527,0.8994,0.9253,7.8
0.2,0.8,0.9764,0.8732,0.9219,13.0
0.25,0.7,0.9731,0.8758,0.9219,8.7
0.25,0.65,0.9623,0.8818,0.9203,7.4
0.25,0.75,0.9783,0.8682,0.9199,10.0
0.15,0.85,0.9732,0.872,0.9198,16.4
0.25,0.6,0.9527,0.8871,0.9187,6.1
0.3,0.7,0.9731,0.8627,0.9146,7.6
0.3,0.65,0.9623,0.8693,0.9134,6.3
0.25,0.8,0.9764,0.8581,0.9134,11.4
0.3,0.6,0.9527,0.875,0.9122,5.0
0.3,0.75,0.9783,0.8544,0.9122,8.9
0.2,0.85,0.9732,0.8583,0.9121,14.8
0.3,0.8,0.9764,0.8435,0.9051,10.2
0.25,0.85,0.9732,0.8417,0.9027,13.2
0.35,0.7,0.9731,0.8401,0.9017,6.6
0.35,0.65,0.9623,0.8476,0.9013,5.3
0.35,0.6,0.9527,0.8541,0.9007,4.1
0.35,0.75,0.9783,0.8308,0.8985,8.0
0.15,0.9,0.9755,0.8325,0.8983,20.2
0.3,0.85,0.9732,0.8258,0.8934,12.1
0.4,0.7,0.9731,0.8257,0.8934,5.8
0.4,0.65,0.9623,0.8338,0.8934,4.5
0.4,0.6,0.9527,0.8407,0.8932,3.3
0.35,0.8,0.9764,0.8185,0.8905,9.3
0.4,0.75,0.9783,0.8157,0.8896,7.1
0.2,0.9,0.9755,0.8154,0.8883,18.6
0.45,0.6,0.9527,0.8278,0.8858,2.5
0.45,0.65,0.9623,0.8204,0.8857,3.8
0.45,0.7,0.9731,0.8118,0.8851,5.1
0.4,0.8,0.9764,0.8026,0.881,8.5
0.45,0.75,0.9783,0.8012,0.8809,6.4
0.35,0.85,0.9732,0.7985,0.8773,11.2
0.25,0.9,0.9755,0.795,0.876,17.0
0.45,0.8,0.9764,0.7873,0.8717,7.8
0.4,0.85,0.9732,0.7814,0.8668,10.4
0.3,0.9,0.9755,0.7756,0.8641,15.9
0.45,0.85,0.9732,0.7649,0.8566,9.6
0.35,0.9,0.9755,0.743,0.8435,15.0
0.4,0.9,0.9755,0.7227,0.8303,14.2
0.45,0.9,0.9755,0.7035,0.8175,13.4
