file_name,conversation_type,spk,msg
phishing_001,Impersonation of family/child/acquaintance type,0," 여보세요, OOO야. 나 아빠야."
phishing_001,Impersonation of family/child/acquaintance type,1, 아빠? 목소리가 좀 이상한데요.
phishing_001,Impersonation of family/child/acquaintance type,0, 아빠 핸드폰이 고장 나서 친구 폰으로 걸었어. 급하게 돈이 필요해서.
phishing_001,Impersonation of family/child/acquaintance type,1, 무슨 일인데 그렇게 급해요?
phishing_001,Impersonation of family/child/acquaintance type,0, 교통사고가 나서 병원비가 필요해. 믿고 바로 보내줄 수 있지?
phishing_002,Impersonation of family/child/acquaintance type,0," OOO야, 나야. 너 친구 OOO인데, 전화번호 바뀌었어."
phishing_002,Impersonation of family/child/acquaintance type,1, 어? 갑자기 왜 바꿨어?
phishing_002,Impersonation of family/child/acquaintance type,0," 핸드폰을 잃어버려서 그런데, 급히 돈 좀 빌려 줄 수 있어?"
phishing_002,Impersonation of family/child/acquaintance type,1, 무슨 일이야? 왜 돈이 필요해?
phishing_002,Impersonation of family/child/acquaintance type,0," 가족이 다쳤는데, 병원비가 모자라서 그래. 부탁 좀 할게."
phishing_003,Impersonation of family/child/acquaintance type,0," 여보세요, OOO? 나 엄마 친구야."
phishing_003,Impersonation of family/child/acquaintance type,1," 아, 네. 무슨 일이세요?"
phishing_003,Impersonation of family/child/acquaintance type,0, 네 엄마가 지금 사고를 당해서 병원에 있어. 돈이 급히 필요해.
phishing_003,Impersonation of family/child/acquaintance type,1, 정말요? 어떤 병원이에요?
phishing_003,Impersonation of family/child/acquaintance type,0, 자세한 것은 나중에 설명할게. 지금 바로 송금 부탁해.
phishing_004,Impersonation of family/child/acquaintance type,0," OOO야, 나야. 오랜만이다."
phishing_004,Impersonation of family/child/acquaintance type,1, 오랜만이네. 근데 네 목소리 왜 그래?
phishing_004,Impersonation of family/child/acquaintance type,0, 나 사고가 나서 목소리가 변했어. 지금 병원비가 필요해.
phishing_004,Impersonation of family/child/acquaintance type,1, 무슨 사고야? 괜찮은 거야?
phishing_004,Impersonation of family/child/acquaintance type,0, 어쩌다 보니 이렇게 됐어. 나중에 설명할게. 돈 좀 빨리 보내 줄래?
phishing_005,Impersonation of family/child/acquaintance type,0," 여보세요, OOO님? 여기 경찰서입니다."
phishing_005,Impersonation of family/child/acquaintance type,1, 경찰서요? 무슨 일이죠?
phishing_005,Impersonation of family/child/acquaintance type,0, 네 아들이 교통사고를 당했어요. 병원비 처리를 위해 급히 송금이 필요합니다.
phishing_005,Impersonation of family/child/acquaintance type,1, 정말이에요? 어느 병원인지 알 수 있을까요?
phishing_005,Impersonation of family/child/acquaintance type,0," 지금은 말씀드리기 어렵고, 우선 송금부터 부탁드립니다."
phishing_006,Impersonation of family/child/acquaintance type,0," 여보세요, OOO야. 나 경찰서인데, 급하게 문제가 생겼어."
phishing_006,Impersonation of family/child/acquaintance type,1, 경찰서? 무슨 일이야?
phishing_006,Impersonation of family/child/acquaintance type,0, 내가 실수로 사고가 나서 보석금이 필요해. 빠르게 송금해줘.
phishing_006,Impersonation of family/child/acquaintance type,1, 정말이야? 경찰서에 직접 가볼게.
phishing_006,Impersonation of family/child/acquaintance type,0," 아니야, 그럴 시간 없어. 빨리 처리해야 해."
phishing_007,Impersonation of family/child/acquaintance type,0," OOO야, 나야. 내 계좌가 해킹당해서 돈이 다 빠져나갔어."
phishing_007,Impersonation of family/child/acquaintance type,1, 정말? 어떻게 그럴 수가 있어?
phishing_007,Impersonation of family/child/acquaintance type,0," 은행에서 보상 해준다는데, 급하게 돈을 입금해야 한다고 해."
phishing_007,Impersonation of family/child/acquaintance type,1, 은행에 직접 확인해볼게.
phishing_007,Impersonation of family/child/acquaintance type,0, 시간이 없어. 지금 곧바로 해야 돼.
phishing_008,Impersonation of family/child/acquaintance type,0," OOO야, 너의 아이가 병원에 있어. 긴급 수술이 필요해."
phishing_008,Impersonation of family/child/acquaintance type,1, 뭐라고? 내 아이가 병원에 있다고?
phishing_008,Impersonation of family/child/acquaintance type,0," 응, 수술비를 빨리 입금해야 해. 당장 부탁해."
phishing_008,Impersonation of family/child/acquaintance type,1, 정말 믿을 수가 없네. 병원에 직접 연락해볼게.
phishing_008,Impersonation of family/child/acquaintance type,0, 직접 연락할 시간 없어. 지금 바로 해야 돼.
phishing_009,Impersonation of family/child/acquaintance type,0," 여보세요, OOO씨? 세무서에서 전화 드립니다."
phishing_009,Impersonation of family/child/acquaintance type,1, 세무서요? 왜 전화하셨죠?
phishing_009,Impersonation of family/child/acquaintance type,0, 세금 관련 문제가 있어서 빨리 처리해야 합니다. 송금 부탁드립니다.
phishing_009,Impersonation of family/child/acquaintance type,1," 이거 수상한데, 세무서에 직접 확인해보겠습니다."
phishing_009,Impersonation of family/child/acquaintance type,0, 지금 바로 조치를 취하지 않으면 큰 문제가 될 수 있습니다.
phishing_010,Impersonation of family/child/acquaintance type,0," OOO야, 나 보험사인데 네 가족이 교통사고가 났어."
phishing_010,Impersonation of family/child/acquaintance type,1, 정말이야? 가족이 괜찮은 거야?
phishing_010,Impersonation of family/child/acquaintance type,0, 빠르게 치료비를 입금해야 해. 금방 부탁할게.
phishing_010,Impersonation of family/child/acquaintance type,1, 직접 병원에 확인해볼게.
phishing_010,Impersonation of family/child/acquaintance type,0, 그럴 시간 없어. 지금 당장 송금해야 해.
phishing_011,Impersonation of family/child/acquaintance type,0," 엄마, 나 OOO인데, 지금 급하게 전화해."
phishing_011,Impersonation of family/child/acquaintance type,1, OOO야? 너 왜 그래? 무슨 일이야?
